"Time","Radiance (high res)"
1622017200000,23.2
1622017320000,23.2
1622017440000,23.1
1622017560000,23.1
1622017680000,23.2
1622017800000,23.2
1622017920000,23.2
1622018040000,23.2
1622018160000,23.2
1622018280000,23.2
1622018400000,23.2
1622018520000,23.2
1622018640000,23.2
1622018760000,23.2
1622018880000,23.2
1622019000000,23.2
1622019120000,23.2
1622019240000,23.2
1622019360000,23.2
1622019480000,23.2
1622019600000,23.2
1622019720000,23.2
1622019840000,23.2
1622019960000,23.2
1622020080000,23.2
1622020200000,23.2
1622020320000,23.2
1622020440000,23.2
1622020560000,23.2
1622020680000,23.2
1622020800000,23.2
1622020920000,23.2
1622021040000,23.2
1622021160000,23.2
1622021280000,23.2
1622021400000,23.2
1622021520000,23.2
1622021640000,23.2
1622021760000,23.2
1622021880000,23.2
1622022000000,23.2
1622022120000,23.2
1622022240000,23.2
1622022360000,23.2
1622022480000,23.2
1622022600000,23.2
1622022720000,23.2
1622022840000,23.2
1622022960000,23.2
1622023080000,23.2
1622023200000,23.2
1622023320000,23.2
1622023440000,23.1
1622023560000,23.1
1622023680000,23.1
1622023800000,23.1
1622023920000,23.1
1622024040000,23.1
1622024160000,23.1
1622024280000,23.1
1622024400000,23.1
1622024520000,23.1
1622024640000,23.1
1622024760000,23.1
1622024880000,23.1
1622025000000,23.1
1622025120000,23.1
1622025240000,23.1
1622025360000,23.1
1622025480000,23.1
1622025600000,23.1
1622025720000,23.1
1622025840000,23.1
1622025960000,23.1
1622026080000,23.1
1622026200000,23.1
1622026320000,23.1
1622026440000,23.1
1622026560000,23.1
1622026680000,23.1
1622026800000,23.1
1622026920000,23.1
1622027040000,23.2
1622027160000,23.2
1622027280000,23.2
1622027400000,23.2
1622027520000,23.2
1622027640000,23.2
1622027760000,23.2
1622027880000,23.2
1622028000000,23.2
1622028120000,23.2
1622028240000,23.2
1622028360000,23.2
1622028480000,23.2
1622028600000,23.2
1622028720000,23.2
1622028840000,23.2
1622028960000,23.2
1622029080000,23.3
1622029200000,23.3
1622029320000,23.3
1622029440000,23.3
1622029560000,23.3
1622029680000,23.3
1622029800000,23.3
1622029920000,23.3
1622030040000,23.3
1622030160000,23.4
1622030280000,23.4
1622030400000,23.4
1622030520000,23.4
1622030640000,23.4
1622030760000,23.4
1622030880000,23.4
1622031000000,23.4
1622031120000,23.4
1622031240000,23.4
1622031360000,23.4
1622031480000,23.4
1622031600000,23.4
1622031720000,23.4
1622031840000,23.4
1622031960000,23.4
1622032080000,23.4
1622032200000,23.4
1622032320000,23.4
1622032440000,23.4
1622032560000,23.4
1622032680000,23.4
1622032800000,23.4
1622032920000,23.4
1622033040000,23.4
1622033160000,23.4
1622033280000,23.4
1622033400000,23.4
1622033520000,23.4
1622033640000,23.4
1622033760000,23.4
1622033880000,23.4
1622034000000,23.4
1622034120000,23.4
1622034240000,23.4
1622034360000,23.4
1622034480000,23.4
1622034600000,23.4
1622034720000,23.5
1622034840000,23.5
1622034960000,23.5
1622035080000,23.5
1622035200000,23.5
1622035320000,23.6
1622035440000,23.6
1622035560000,23.6
1622035680000,23.6
1622035800000,23.6
1622035920000,23.6
1622036040000,23.7
1622036160000,23.7
1622036280000,23.7
1622036400000,23.7
1622036520000,23.7
1622036640000,23.7
1622036760000,23.6
1622036880000,23.6
1622037000000,23.6
1622037120000,23.6
1622037240000,23.6
1622037360000,23.6
1622037480000,23.7
1622037600000,23.7
1622037720000,23.7
1622037840000,23.7
1622037960000,23.7
1622038080000,23.7
1622038200000,23.7
1622038320000,23.7
1622038440000,23.7
1622038560000,23.7
1622038680000,23.8
1622038800000,23.8
1622038920000,23.8
1622039040000,23.8
1622039160000,23.8
1622039280000,23.8
1622039400000,23.8
1622039520000,23.8
1622039640000,23.8
1622039760000,23.8
1622039880000,23.8
1622040000000,23.8
1622040120000,23.8
1622040240000,23.9
1622040360000,23.9
1622040480000,23.9
1622040600000,23.9
1622040720000,23.9
1622040840000,23.9
1622040960000,23.9
1622041080000,23.9
1622041200000,23.9
1622041320000,23.9
1622041440000,23.9
1622041560000,23.9
1622041680000,23.9
1622041800000,23.9
1622041920000,23.9
1622042040000,23.9
1622042160000,23.9
1622042280000,23.9
1622042400000,23.9
1622042520000,23.9
1622042640000,23.9
1622042760000,23.9
1622042880000,23.9
1622043000000,23.9
1622043120000,23.9
1622043240000,23.9
1622043360000,23.9
1622043480000,23.9
1622043600000,23.9
1622043720000,23.9
1622043840000,23.9
1622043960000,23.9
1622044080000,23.9
1622044200000,24
1622044320000,24
1622044440000,24
1622044560000,24
1622044680000,24
1622044800000,24
1622044920000,24
1622045040000,24
1622045160000,24
1622045280000,24
1622045400000,24
1622045520000,24
1622045640000,24
1622045760000,24
1622045880000,24
1622046000000,24.1
1622046120000,24.1
1622046240000,24.1
1622046360000,24.1
1622046480000,24.1
1622046600000,24.1
1622046720000,24.1
1622046840000,24.1
1622046960000,24.1
1622047080000,24.1
1622047200000,24.1
1622047320000,24.1
1622047440000,24.1
1622047560000,24.1
1622047680000,24.1
1622047800000,24.1
1622047920000,24.1
1622048040000,24.1
